BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,NWMT,SWPP,WACM,WAUE,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
WAUW,01Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,02Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,03Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,04Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,05Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,06Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,07Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,08Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,09Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,10Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,11Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,12Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,13Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,14Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,15Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,16Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,17Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,18Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,19Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,20Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,21Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,22Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,23Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,24Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,25Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,26Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,27Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,28Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,29Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,30Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,31Jul2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,01Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,02Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,03Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,04Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,05Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,06Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,07Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,08Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,09Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,10Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,11Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,12Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,13Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,14Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,15Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,16Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,17Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,18Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,19Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,20Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,21Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,22Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,23Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,24Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,25Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,26Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,27Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,28Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,29Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,30Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,31Aug2015,Mountain,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,01Sep2015,Mountain,N,,,,"-3,883",,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAUW,02Sep2015,Mountain,N,,,,"-3,141",,,,,,,,,,-672,,,,,,,,,,,,,,,,,,
WAUW,03Sep2015,Mountain,N,,,,"-3,146",,,,,,,,,,-599,,,,,,,,,,,,,,,,,,
WAUW,04Sep2015,Mountain,N,,,,"-3,329",,,,,,,,,,-782,,,,,,,,,,,,,,,,,,
WAUW,05Sep2015,Mountain,N,,,,"-1,453",,,,,,,,,,-691,,,,,,,,,,,,,,,,,,
WAUW,06Sep2015,Mountain,N,,,,"-1,815",,,,,,,,,,"-1,130",,,,,,,,,,,,,,,,,,
WAUW,07Sep2015,Mountain,N,,,,"-1,794",,,,,,,,,,"-1,106",,,,,,,,,,,,,,,,,,
WAUW,08Sep2015,Mountain,N,,,,"-1,311",,,,,,,,,,-637,,,,,,,,,,,,,,,,,,
WAUW,09Sep2015,Mountain,N,,"1,416",,,,,,,,,,,,63,,,,,,,,,,,,,,,,,,
WAUW,10Sep2015,Mountain,N,,"1,739",,-570,,,,,,,,,,-279,,,,,,,,,,,,,,,,,,
WAUW,11Sep2015,Mountain,N,,"1,833",,,,,,,,,,,,-218,,,,,,,,,,,,,,,,,,
WAUW,12Sep2015,Mountain,N,,"2,019",,"-1,022",,,,,,,,,,-362,,,,,,,,,,,,,,,,,,
WAUW,13Sep2015,Mountain,N,,"1,908",,,,,,,,,,,,-467,,,,,,,,,,,,,,,,,,
WAUW,14Sep2015,Mountain,N,,"1,991",,,,,,,,,,,,276,,,,,,,,,,,,,,,,,,
WAUW,15Sep2015,Mountain,N,,"1,787",,,,,,,,,,,,291,,,,,,,,,,,,,,,,,,
WAUW,16Sep2015,Mountain,N,,"1,922",,,,,,,,,,,,-470,,-355,,,,,,,,,,,,,,,,
WAUW,17Sep2015,Mountain,N,,"1,759",,,,,,,,,,,,"-1,918",,,,,,,,,,,,,,,,,,
WAUW,18Sep2015,Mountain,N,,"1,827",,"-1,461",,,,,,,,,,"-3,333",,"1,875",,,,,,,,,,,,,,,,
WAUW,19Sep2015,Mountain,N,,"1,830",,"-1,488",,,,,,,,,,"-3,742","-1,228","2,248",,,,,,,,,,,,,,,,
WAUW,20Sep2015,Mountain,N,,"1,828",,"-1,129",,,,,,,,,,"-3,260",-979,"2,130",,,,,,,,,,,,,,,,
WAUW,21Sep2015,Mountain,N,,"1,878",,-795,,,,,,,,,,"-1,501",-559,712,,,,,,,,,,,,,,,,
WAUW,22Sep2015,Mountain,N,,"1,854",,-692,,,,,,,,,,-692,-272,0,,,,,,,,,,,,,,,,
WAUW,23Sep2015,Mountain,N,,"1,868",,"-1,146",,,,,,,,,,"-1,146",-908,0,,,,,,,,,,,,,,,,
WAUW,24Sep2015,Mountain,N,,"1,919",,"-1,121",,,,,,,,,,"-1,121",-801,0,,,,,,,,,,,,,,,,
WAUW,25Sep2015,Mountain,N,,"1,981",,"-1,275",,,,,,,,,,"-1,275",-776,0,,,,,,,,,,,,,,,,
