BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,NWMT,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
WWA,01Jul2015,Mountain,Y,,,721,721,,,,,,,,,,721,,,,,,,,,,,,,,,
WWA,02Jul2015,Mountain,Y,,,71,71,,,,,,,,,,71,,,,,,,,,,,,,,,
WWA,03Jul2015,Mountain,Y,,,391,391,,,,,,,,,,391,,,,,,,,,,,,,,,
WWA,04Jul2015,Mountain,Y,,,"1,910","1,910",,,,,,,,,,"1,910",,,,,,,,,,,,,,,
WWA,05Jul2015,Mountain,Y,,,890,890,,,,,,,,,,890,,,,,,,,,,,,,,,
WWA,06Jul2015,Mountain,Y,,,489,489,,,,,,,,,,489,,,,,,,,,,,,,,,
WWA,07Jul2015,Mountain,Y,,,475,475,,,,,,,,,,475,,,,,,,,,,,,,,,
WWA,08Jul2015,Mountain,Y,,,561,561,,,,,,,,,,561,,,,,,,,,,,,,,,
WWA,09Jul2015,Mountain,Y,,,327,327,,,,,,,,,,327,,,,,,,,,,,,,,,
WWA,10Jul2015,Mountain,Y,,,478,478,,,,,,,,,,478,,,,,,,,,,,,,,,
WWA,11Jul2015,Mountain,Y,,,"1,156","1,156",,,,,,,,,,"1,156",,,,,,,,,,,,,,,
WWA,12Jul2015,Mountain,Y,,,"3,682","3,682",,,,,,,,,,"3,682",,,,,,,,,,,,,,,
WWA,13Jul2015,Mountain,Y,,,"1,822","1,822",,,,,,,,,,"1,822",,,,,,,,,,,,,,,
WWA,14Jul2015,Mountain,Y,,,636,636,,,,,,,,,,636,,,,,,,,,,,,,,,
WWA,15Jul2015,Mountain,Y,,,568,568,,,,,,,,,,568,,,,,,,,,,,,,,,
WWA,16Jul2015,Mountain,Y,,,"1,962","1,962",,,,,,,,,,"1,962",,,,,,,,,,,,,,,
