BA,Local date,Time zone,Generation only?,DF,D,NG,TI,NG: COL,NG: NG,NG: NUC,NG: OIL,NG: WAT,NG: SUN,NG: WND,NG: OTH,NG: UNK,CPLE,DUK,CO2 Factor: COL,CO2 Factor: NG,CO2 Factor: OIL,CO2 Emissions: COL,CO2 Emissions: NG,CO2 Emissions: OIL,CO2 Emissions: Other,CO2 Emissions Generated,CO2 Emissions Imported,CO2 Emissions Exported,CO2 Emissions Consumed,Positive Generation,Consumed Electricity,CO2 Emissions Intensity for Generated Electricity,CO2 Emissions Intensity for Consumed Electricity
YAD,01Jul2015,Eastern,Y,,,"1,284","1,238",,,,,,,,,,-34,"1,272",,,,,,,,,,,,,,,
YAD,02Jul2015,Eastern,Y,,,"1,374","1,335",,,,,,,,,,25,"1,310",,,,,,,,,,,,,,,
YAD,03Jul2015,Eastern,Y,,,"1,006",973,,,,,,,,,,-67,"1,040",,,,,,,,,,,,,,,
YAD,04Jul2015,Eastern,Y,,,811,783,,,,,,,,,,37,746,,,,,,,,,,,,,,,
YAD,05Jul2015,Eastern,Y,,,829,801,,,,,,,,,,-29,830,,,,,,,,,,,,,,,
YAD,06Jul2015,Eastern,Y,,,836,807,,,,,,,,,,-162,969,,,,,,,,,,,,,,,
YAD,07Jul2015,Eastern,Y,,,730,704,,,,,,,,,,162,542,,,,,,,,,,,,,,,
YAD,08Jul2015,Eastern,Y,,,735,712,,,,,,,,,,36,676,,,,,,,,,,,,,,,
YAD,09Jul2015,Eastern,Y,,,741,712,,,,,,,,,,-60,773,,,,,,,,,,,,,,,
YAD,10Jul2015,Eastern,Y,,,737,713,,,,,,,,,,-252,963,,,,,,,,,,,,,,,
YAD,11Jul2015,Eastern,Y,,,736,711,,,,,,,,,,-157,868,,,,,,,,,,,,,,,
YAD,12Jul2015,Eastern,Y,,,738,711,,,,,,,,,,-157,868,,,,,,,,,,,,,,,
YAD,13Jul2015,Eastern,Y,,,733,708,,,,,,,,,,-377,"1,085",,,,,,,,,,,,,,,
YAD,14Jul2015,Eastern,Y,,,730,704,,,,,,,,,,9,695,,,,,,,,,,,,,,,
YAD,15Jul2015,Eastern,Y,,,917,889,,,,,,,,,,281,608,,,,,,,,,,,,,,,
YAD,16Jul2015,Eastern,Y,,,729,708,,,,,,,,,,204,504,,,,,,,,,,,,,,,
YAD,17Jul2015,Eastern,Y,,,912,885,,,,,,,,,,-75,79,,,,,,,,,,,,,,,
YAD,18Jul2015,Eastern,Y,,,"1,210","1,168",,,,,,,,,,179,989,,,,,,,,,,,,,,,
YAD,19Jul2015,Eastern,Y,,,"1,212","1,166",,,,,,,,,,311,858,,,,,,,,,,,,,,,
YAD,20Jul2015,Eastern,Y,,,"1,216","1,169",,,,,,,,,,294,725,,,,,,,,,,,,,,,
YAD,21Jul2015,Eastern,Y,,,"1,061","1,019",,,,,,,,,,-9,712,,,,,,,,,,,,,,,
YAD,22Jul2015,Eastern,Y,,,738,703,,,,,,,,,,-234,241,,,,,,,,,,,,,,,
YAD,23Jul2015,Eastern,Y,,,20,7,,,,,,,,,,-165,581,,,,,,,,,,,,,,,
YAD,24Jul2015,Eastern,Y,,,438,416,,,,,,,,,,-317,"1,203",,,,,,,,,,,,,,,
YAD,25Jul2015,Eastern,Y,,,916,886,,,,,,,,,,-357,"1,252",,,,,,,,,,,,,,,
YAD,26Jul2015,Eastern,Y,,,926,895,,,,,,,,,,-357,"1,252",,,,,,,,,,,,,,,
YAD,27Jul2015,Eastern,Y,,,801,764,,,,,,,,,,-149,913,,,,,,,,,,,,,,,
YAD,28Jul2015,Eastern,Y,,,798,763,,,,,,,,,,-121,884,,,,,,,,,,,,,,,
YAD,29Jul2015,Eastern,Y,,,"1,107","1,064",,,,,,,,,,-97,"1,161",,,,,,,,,,,,,,,
YAD,30Jul2015,Eastern,Y,,,"1,185","1,142",,,,,,,,,,-182,"1,324",,,,,,,,,,,,,,,
YAD,31Jul2015,Eastern,Y,,,14,1,,,,,,,,,,-255,256,,,,,,,,,,,,,,,
YAD,01Aug2015,Eastern,Y,,,790,757,,,,,,,,,,-227,984,,,,,,,,,,,,,,,
YAD,02Aug2015,Eastern,Y,,,783,754,,,,,,,,,,-113,867,,,,,,,,,,,,,,,
YAD,03Aug2015,Eastern,Y,,,908,876,,,,,,,,,,-8,"1,033",,,,,,,,,,,,,,,
YAD,04Aug2015,Eastern,Y,,,"1,063","1,025",,,,,,,,,,-8,"1,033",,,,,,,,,,,,,,,
YAD,05Aug2015,Eastern,Y,,,"1,238","1,196",,,,,,,,,,106,"1,090",,,,,,,,,,,,,,,
YAD,06Aug2015,Eastern,Y,,,687,650,,,,,,,,,,-159,809,,,,,,,,,,,,,,,
YAD,07Aug2015,Eastern,Y,,,192,176,,,,,,,,,,-656,832,,,,,,,,,,,,,,,
YAD,08Aug2015,Eastern,Y,,,922,885,,,,,,,,,,-587,"1,472",,,,,,,,,,,,,,,
YAD,09Aug2015,Eastern,Y,,,935,897,,,,,,,,,,-428,"1,325",,,,,,,,,,,,,,,
YAD,10Aug2015,Eastern,Y,,,"1,593","1,542",,,,,,,,,,-333,"1,875",,,,,,,,,,,,,,,
YAD,11Aug2015,Eastern,Y,,,884,853,,,,,,,,,,-159,"1,012",,,,,,,,,,,,,,,
YAD,12Aug2015,Eastern,Y,,,"1,096","1,057",,,,,,,,,,-368,369,,,,,,,,,,,,,,,
YAD,13Aug2015,Eastern,Y,,,14,1,,,,,,,,,,-473,476,,,,,,,,,,,,,,,
YAD,14Aug2015,Eastern,Y,,,15,3,,,,,,,,,,-387,390,,,,,,,,,,,,,,,
YAD,15Aug2015,Eastern,Y,,,23,3,,,,,,,,,,-393,393,,,,,,,,,,,,,,,
YAD,16Aug2015,Eastern,Y,,,14,0,,,,,,,,,,-393,393,,,,,,,,,,,,,,,
YAD,17Aug2015,Eastern,Y,,,"1,328","1,284",,,,,,,,,,93,"1,188",,,,,,,,,,,,,,,
YAD,18Aug2015,Eastern,Y,,,"1,323","1,281",,,,,,,,,,13,"1,419",,,,,,,,,,,,,,,
YAD,19Aug2015,Eastern,Y,,,"1,482","1,432",,,,,,,,,,13,"1,419",,,,,,,,,,,,,,,
YAD,20Aug2015,Eastern,Y,,,"1,299","1,254",,,,,,,,,,16,"1,238",,,,,,,,,,,,,,,
YAD,21Aug2015,Eastern,Y,,,27,9,,,,,,,,,,-171,180,,,,,,,,,,,,,,,
YAD,22Aug2015,Eastern,Y,,,"1,040","1,005",,,,,,,,,,-222,"1,227",,,,,,,,,,,,,,,
YAD,23Aug2015,Eastern,Y,,,"1,045","1,003",,,,,,,,,,-284,"1,574",,,,,,,,,,,,,,,
YAD,24Aug2015,Eastern,Y,,,"1,342","1,290",,,,,,,,,,-47,"1,337",,,,,,,,,,,,,,,
YAD,25Aug2015,Eastern,Y,,,"1,336","1,290",,,,,,,,,,-43,739,,,,,,,,,,,,,,,
YAD,26Aug2015,Eastern,Y,,,724,696,,,,,,,,,,-197,201,,,,,,,,,,,,,,,
YAD,27Aug2015,Eastern,Y,,,18,4,,,,,,,,,,-315,328,,,,,,,,,,,,,,,
YAD,28Aug2015,Eastern,Y,,,25,13,,,,,,,,,,-25,684,,,,,,,,,,,,,,,
YAD,29Aug2015,Eastern,Y,,,688,659,,,,,,,,,,-31,688,,,,,,,,,,,,,,,
YAD,30Aug2015,Eastern,Y,,,685,657,,,,,,,,,,-31,688,,,,,,,,,,,,,,,
YAD,31Aug2015,Eastern,Y,,,793,760,,,,,,,,,,-169,929,,,,,,,,,,,,,,,
YAD,01Sep2015,Eastern,Y,,,844,813,,,,,,,,,,-110,923,,,,,,,,,,,,,,,
YAD,02Sep2015,Eastern,Y,,,850,813,,,,,,,,,,-198,"1,011",,,,,,,,,,,,,,,
YAD,03Sep2015,Eastern,Y,,,"1,354","1,312",,,,,,,,,,-102,"1,414",,,,,,,,,,,,,,,
YAD,04Sep2015,Eastern,Y,,,319,302,,,,,,,,,,-178,480,,,,,,,,,,,,,,,
YAD,05Sep2015,Eastern,Y,,,778,749,,,,,,,,,,-297,"1,046",,,,,,,,,,,,,,,
YAD,06Sep2015,Eastern,Y,,,783,754,,,,,,,,,,-492,"1,246",,,,,,,,,,,,,,,
YAD,07Sep2015,Eastern,Y,,,791,760,,,,,,,,,,-30,532,,,,,,,,,,,,,,,
YAD,08Sep2015,Eastern,Y,,,533,502,,,,,,,,,,-30,532,,,,,,,,,,,,,,,
YAD,09Sep2015,Eastern,Y,,,"1,345","1,299",,,,,,,,,,210,"1,089",,,,,,,,,,,,,,,
YAD,10Sep2015,Eastern,Y,,,424,399,,,,,,,,,,-130,529,,,,,,,,,,,,,,,
YAD,11Sep2015,Eastern,Y,,,830,795,,,,,,,,,,-231,"1,026",,,,,,,,,,,,,,,
YAD,12Sep2015,Eastern,Y,,,418,396,,,,,,,,,,-213,609,,,,,,,,,,,,,,,
YAD,13Sep2015,Eastern,Y,,,416,396,,,,,,,,,,-398,794,,,,,,,,,,,,,,,
YAD,14Sep2015,Eastern,Y,,,419,398,,,,,,,,,,-503,901,,,,,,,,,,,,,,,
YAD,15Sep2015,Eastern,Y,,,12,-1,,,,,,,,,,-483,482,,,,,,,,,,,,,,,
YAD,16Sep2015,Eastern,Y,,,"1,391","1,345",,,,,,,,,,-240,"1,583",,,,,,,,,,,,,,,
YAD,17Sep2015,Eastern,Y,,,"1,390","1,343",,,,,,,,,,-241,"1,614",,,,,,,,,,,,,,,
YAD,18Sep2015,Eastern,Y,,,"1,416","1,373",,,,,,,,,,-145,"1,493",,,,,,,,,,,,,,,
YAD,19Sep2015,Eastern,Y,,,"1,388","1,348",,,,,,,,,,-232,"1,579",,,,,,,,,,,,,,,
YAD,20Sep2015,Eastern,Y,,,"1,391","1,347",,,,,,,,,,-232,"1,579",,,,,,,,,,,,,,,
YAD,21Sep2015,Eastern,Y,,,"1,391","1,353",,,,,,,,,,-132,"1,485",,,,,,,,,,,,,,,
YAD,22Sep2015,Eastern,Y,,,13,-6,,,,,,,,,,-517,511,,,,,,,,,,,,,,,
YAD,23Sep2015,Eastern,Y,,,12,-4,,,,,,,,,,-576,572,,,,,,,,,,,,,,,
YAD,24Sep2015,Eastern,Y,,,381,357,,,,,,,,,,-430,787,,,,,,,,,,,,,,,
YAD,25Sep2015,Eastern,Y,,,25,7,,,,,,,,,,-377,384,,,,,,,,,,,,,,,
YAD,26Sep2015,Eastern,Y,,,710,675,,,,,,,,,,-520,"1,195",,,,,,,,,,,,,,,
YAD,27Sep2015,Eastern,Y,,,709,680,,,,,,,,,,-166,846,,,,,,,,,,,,,,,
YAD,28Sep2015,Eastern,Y,,,715,680,,,,,,,,,,166,509,,,,,,,,,,,,,,,
YAD,29Sep2015,Eastern,Y,,,703,675,,,,,,,,,,-56,656,,,,,,,,,,,,,,,
YAD,30Sep2015,Eastern,Y,,,626,600,,,,,,,,,,-56,656,,,,,,,,,,,,,,,
YAD,01Oct2015,Eastern,Y,,,"1,212","1,168",,,,,,,,,,-762,"1,930",,,,,,,,,,,,,,,
YAD,02Oct2015,Eastern,Y,,,"3,078","3,000",,,,,,,,,,-282,"3,282",,,,,,,,,,,,,,,
YAD,03Oct2015,Eastern,Y,,,"3,082","3,002",,,,,,,,,,-430,"3,432",,,,,,,,,,,,,,,
YAD,04Oct2015,Eastern,Y,,,"3,336","3,252",,,,,,,,,,-242,"3,494",,,,,,,,,,,,,,,
YAD,05Oct2015,Eastern,Y,,,"3,686","3,590",,,,,,,,,,-174,"3,764",,,,,,,,,,,,,,,
YAD,06Oct2015,Eastern,Y,,,"3,701","3,604",,,,,,,,,,38,"3,566",,,,,,,,,,,,,,,
YAD,07Oct2015,Eastern,Y,,,"3,705","3,603",,,,,,,,,,145,"3,458",,,,,,,,,,,,,,,
